ImageName,CellType,BoxX,BoxY,BoxW,BoxH,Area,Perimeter,Circularity,AspectRatio,MeanBlue,MeanGreen,MeanRed,StdDevBlue,StdDevGreen,StdDevRed,Solidity,Extent,GroundTruth_Label,IoU_Score
BloodImage_00001.jpeg,GlobuloBianco,76,325,195,147,15514.0,661.553,0.445455,1.32653,216.429,144.154,160.787,10.897,18.4477,16.2419,0.812613,0.541218,GlobuloBianco,0.8017733273663011
BloodImage_00001.jpeg,Piastrina,422,324,8,8,32.0,27.3137,0.539012,1.0,154.644,153.8,169.889,5.13011,4.28226,4.23856,0.831169,0.5,Rumore,0.007032967032967033
BloodImage_00001.jpeg,Piastrina,94,243,8,9,17.5,24.7279,0.359644,0.888889,165.621,143.828,169.0,6.26657,2.97193,2.9595,0.729167,0.243056,Rumore,0.0064516129032258064
BloodImage_00001.jpeg,Piastrina,95,232,8,7,14.0,28.1421,0.222138,1.14286,166.667,154.556,171.185,10.1726,1.74978,1.63383,0.466667,0.25,Rumore,0.005017921146953405
BloodImage_00001.jpeg,Piastrina,204,214,13,12,55.0,40.6274,0.41873,1.08333,158.986,138.753,162.096,11.4587,7.49572,8.96747,0.80292,0.352564,GlobuloRosso,0.016304347826086956
BloodImage_00001.jpeg,Piastrina,72,196,12,12,30.5,35.2132,0.3091,1.0,180.891,151.457,172.761,1.84424,1.4848,2.27639,0.701149,0.211806,GlobuloRosso,0.012903225806451613
BloodImage_00001.jpeg,Piastrina,0,138,6,11,36.5,27.0711,0.625881,0.545455,157.72,132.42,157.3,4.1811,8.79793,6.20725,0.890244,0.55303,Rumore,0.0044960353143137415
BloodImage_00001.jpeg,Piastrina,68,137,7,13,35.0,30.1421,0.484094,0.538462,165.939,120.469,144.898,2.60618,2.74867,4.25822,0.864198,0.384615,Rumore,0.0074455899198167235
BloodImage_00001.jpeg,Piastrina,66,120,21,9,102.5,54.0416,0.441039,2.33333,167.913,118.591,149.724,11.1758,12.5387,9.96425,0.807087,0.542328,GlobuloRosso,0.015463917525773196
BloodImage_00001.jpeg,Piastrina,60,105,8,10,16.5,28.3848,0.257349,0.8,150.414,117.414,150.0,14.0333,9.57913,12.0029,0.515625,0.20625,Rumore,0.006545573555882834
BloodImage_00001.jpeg,Piastrina,596,68,11,12,36.0,35.799,0.352997,0.916667,176.519,126.538,163.173,9.16618,4.68821,4.75039,0.734694,0.272727,GlobuloRosso,0.014954118046901553
BloodImage_00001.jpeg,Piastrina,493,40,11,7,21.5,26.7279,0.378197,1.57143,159.147,130.294,169.529,5.57902,3.66646,4.91238,0.68254,0.279221,Rumore,0.0
BloodImage_00001.jpeg,Piastrina,344,23,16,13,35.5,44.8701,0.221577,1.23077,153.836,116.982,151.236,14.0541,5.28631,6.79027,0.537879,0.170673,GlobuloRosso,0.029566453447050462
BloodImage_00001.jpeg,Piastrina,597,16,4,8,12.0,17.6569,0.483687,0.5,144.857,132.429,154.667,2.76519,2.57407,2.85079,0.8,0.375,Rumore,0.0
BloodImage_00001.jpeg,GlobuloRosso,0,41,80,39,2360.5,209.983,0.672739,2.05128,156.722,145.795,172.079,15.1488,9.17401,5.24873,0.976422,0.756571,GlobuloRosso,0.25128456080254463
BloodImage_00001.jpeg,GlobuloRosso,0,0,40,53,1388.5,165.012,0.640802,0.754717,157.471,151.59,172.171,12.8149,12.1799,6.31718,0.982313,0.654953,GlobuloRosso,0.04252380606236825
BloodImage_00001.jpeg,GlobuloRosso,466,0,80,66,4720.5,277.698,0.76922,1.21212,151.912,151.139,179.185,9.98887,8.57007,8.02784,0.979967,0.894034,Rumore,0.0002836275969651847
BloodImage_00001.jpeg,GlobuloRosso,163,0,80,80,5537.5,305.698,0.744624,1.0,151.228,147.663,173.517,13.5111,9.38047,7.20327,0.957217,0.865234,GlobuloRosso,0.5984848484848485
BloodImage_00001.jpeg,GlobuloRosso,551,13,53,67,2128.0,223.397,0.53583,0.791045,157.863,154.452,175.214,9.5854,10.3189,8.91806,0.91018,0.599268,GlobuloRosso,0.08350840336134453
BloodImage_00001.jpeg,GlobuloRosso,524,0,45,65,2321.5,202.184,0.713651,0.692308,160.403,156.388,180.451,12.6754,9.15644,4.42307,0.963078,0.793675,Rumore,0.0061643835616438354
BloodImage_00001.jpeg,GlobuloRosso,322,0,75,80,5096.5,315.154,0.644815,0.9375,157.284,151.426,177.119,14.0897,10.5924,8.84931,0.948186,0.849417,GlobuloRosso,0.6273408239700374
BloodImage_00001.jpeg,GlobuloRosso,136,24,80,80,5427.5,299.012,0.762837,1.0,149.391,145.982,172.403,12.4651,9.62794,6.64367,0.9596,0.848047,GlobuloRosso,0.5269994433104472
BloodImage_00001.jpeg,GlobuloRosso,401,45,28,66,1117.0,186.225,0.404748,0.424242,180.454,167.886,185.263,6.29039,3.61999,2.17322,0.736322,0.604437,GlobuloRosso,0.16019417475728157
BloodImage_00001.jpeg,GlobuloRosso,377,31,20,56,899.5,147.698,0.518154,0.357143,169.538,161.382,180.995,12.0971,9.68808,5.45431,0.928277,0.803125,GlobuloRosso,0.09979770734996629
BloodImage_00001.jpeg,GlobuloRosso,291,75,80,57,3338.5,363.782,0.317015,1.40351,168.263,160.807,181.142,10.7283,6.78553,5.69277,0.774954,0.732127,GlobuloRosso,0.36064536539069914
BloodImage_00001.jpeg,GlobuloRosso,291,52,80,19,1044.0,192.627,0.353569,4.21053,158.164,153.627,176.74,9.46505,10.3821,5.60356,0.87364,0.686842,GlobuloRosso,0.155612589490747
BloodImage_00001.jpeg,GlobuloRosso,0,66,80,80,5985.5,336.385,0.664718,1.0,145.4,141.812,168.702,13.5637,11.3871,11.4818,0.959061,0.935234,GlobuloRosso,0.5137376036416843
BloodImage_00001.jpeg,GlobuloRosso,559,68,80,80,4901.0,308.024,0.649119,1.0,163.096,159.156,179.29,10.6422,10.5469,9.10011,0.96619,0.765781,GlobuloRosso,0.6793867872504687
BloodImage_00001.jpeg,GlobuloRosso,475,100,80,51,1435.0,316.108,0.180464,1.56863,173.663,162.295,181.575,9.34944,9.36075,4.53648,0.505371,0.351716,GlobuloRosso,0.3823497911534754
BloodImage_00001.jpeg,GlobuloRosso,238,78,80,80,5104.5,307.296,0.679279,1.0,166.981,160.194,181.407,10.0592,7.77757,5.52824,0.948087,0.797578,GlobuloRosso,0.1279317697228145
BloodImage_00001.jpeg,GlobuloRosso,333,92,80,71,4012.5,333.238,0.454064,1.12676,167.732,160.915,181.437,9.32241,6.80929,5.8482,0.821813,0.706426,GlobuloRosso,0.4019892884468248
