ImageName,CellType,BoxX,BoxY,BoxW,BoxH,Area,Perimeter,Circularity,AspectRatio,MeanBlue,MeanGreen,MeanRed,MeanValue,MinValue,MaxValue,MeanSaturation,MinSat,MaxSat,TextureValue,TextureSat,TextureLaplacian,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Hu7,GroundTruth_Label,Target
BloodImage_00001.jpeg,GlobuloBianco,76,325,195,147,15514.0,661.553,0.445455,1.32653,216.429,144.154,160.787,216.436,182,250,84.3761,3,134,10.8822,26.6764,4.96862,0.710401,2.48579,2.89988,4.04779,-7.52176,-5.33628,-9.13416,GlobuloBianco,0
BloodImage_00001.jpeg,GlobuloRosso,163,0,80,80,5537.5,305.698,0.744624,1.0,151.228,147.663,173.517,173.759,155,220,41.5521,4,91,7.43093,9.68645,3.15585,0.765211,2.88342,3.31215,6.01848,-10.8684,-7.53195,-10.8048,GlobuloRosso,1
BloodImage_00001.jpeg,GlobuloRosso,322,0,75,80,5096.5,315.154,0.644815,0.9375,157.284,151.426,177.119,177.823,143,255,40.7812,14,93,8.9299,10.3367,4.62814,0.772109,3.27387,3.87246,5.42572,10.0751,7.19222,11.4927,GlobuloRosso,1
BloodImage_00001.jpeg,GlobuloRosso,136,24,80,80,5427.5,299.012,0.762837,1.0,149.391,145.982,172.403,172.912,155,225,43.4914,9,91,6.80918,8.44573,3.42034,0.781613,4.02646,3.6887,5.76167,-10.5378,-7.77687,-10.8267,GlobuloRosso,1
BloodImage_00001.jpeg,GlobuloRosso,291,75,80,57,3338.5,363.782,0.317015,1.40351,168.263,160.807,181.142,181.546,167,210,31.4533,13,54,5.92326,6.38307,3.50755,0.610121,1.93772,4.0995,3.71917,7.62868,5.17656,9.17493,GlobuloRosso,1
BloodImage_00001.jpeg,GlobuloRosso,0,66,80,80,5985.5,336.385,0.664718,1.0,145.4,141.812,168.702,169.719,132,255,46.8771,8,113,10.6623,9.83493,4.52362,0.771054,3.89413,4.4272,5.8422,-11.0157,-7.80354,-11.3702,GlobuloRosso,1
BloodImage_00001.jpeg,GlobuloRosso,559,68,80,80,4901.0,308.024,0.649119,1.0,163.096,159.156,179.29,179.853,146,208,33.5127,0,89,8.73957,11.9065,3.78011,0.749703,2.63898,3.10465,5.74324,11.5143,-7.33509,-10.1676,GlobuloRosso,1
BloodImage_00001.jpeg,GlobuloRosso,475,100,80,51,1435.0,316.108,0.180464,1.56863,173.663,162.295,181.575,182.718,167,205,30.1511,11,49,5.68009,9.04655,3.5262,0.312447,0.973978,2.03644,2.81172,-5.32009,-3.49026,5.48207,GlobuloRosso,1
BloodImage_00001.jpeg,GlobuloRosso,333,92,80,71,4012.5,333.238,0.454064,1.12676,167.732,160.915,181.437,181.691,167,210,31.2843,9,51,5.75478,6.36153,3.58254,0.731364,2.9049,3.27114,4.07971,7.85237,-6.28957,7.97639,GlobuloRosso,1
BloodImage_00001.jpeg,GlobuloRosso,464,123,75,80,3845.0,275.137,0.638275,0.9375,161.738,150.628,177.578,177.872,159,197,40.1129,11,63,4.27837,7.88206,3.12533,0.765301,2.76539,3.85855,5.4329,10.1209,-7.35162,-10.4549,GlobuloRosso,1
BloodImage_00001.jpeg,GlobuloRosso,351,180,75,75,4075.5,273.095,0.686692,1.0,171.611,158.6,182.944,184.172,171,206,35.7167,9,55,4.21102,6.25332,3.09241,0.731547,2.31162,3.32989,5.50228,10.1649,6.65961,10.0025,GlobuloRosso,1
BloodImage_00001.jpeg,GlobuloRosso,301,185,80,79,5388.0,334.652,0.604576,1.01266,167.976,160.724,184.629,184.924,168,206,34.4239,8,58,4.23819,5.89591,2.87982,0.764078,3.17699,5.09359,6.24471,11.9779,7.93309,12.2102,GlobuloRosso,1
BloodImage_00001.jpeg,GlobuloRosso,172,188,80,73,4838.0,280.711,0.771539,1.09589,159.799,159.05,180.578,180.645,149,244,35.2127,6,78,8.86723,9.90441,4.02192,0.779104,3.90823,3.412,5.40163,-10.1039,-7.35812,9.87281,GlobuloRosso,1
BloodImage_00001.jpeg,GlobuloRosso,471,231,80,80,5993.0,303.113,0.819683,1.0,167.651,164.058,185.735,185.8,171,222,33.5281,6,53,7.5263,8.27816,3.00664,0.783137,3.62427,5.88879,8.65855,15.9592,10.6929,-16.3986,GlobuloRosso,1
BloodImage_00001.jpeg,GlobuloRosso,458,297,80,80,5502.0,354.853,0.549078,1.0,156.674,157.525,183.227,183.232,163,243,41.8507,18,74,6.79609,8.99045,3.29841,0.762918,3.75689,4.98009,5.12842,10.368,7.02057,10.3032,GlobuloRosso,1
BloodImage_00003.jpeg,GlobuloBianco,147,54,173,155,17839.5,671.654,0.496937,1.11613,205.344,140.648,152.082,205.362,165,241,79.8152,3,133,10.581,28.5855,5.08937,0.739154,2.85719,3.31676,4.92561,-9.04939,6.40857,10.0096,GlobuloBianco,0
BloodImage_00003.jpeg,Piastrina,343,270,19,28,349.0,78.2843,0.715626,0.678571,209.405,168.545,177.226,209.405,187,234,50.0156,27,94,9.63365,16.0588,5.51124,0.721716,2.08252,3.19383,4.59216,-8.921,-5.94509,-8.51649,Piastrina,2
BloodImage_00003.jpeg,GlobuloRosso,459,0,80,75,3166.0,377.966,0.278494,1.06667,166.58,166.177,183.376,183.485,167,229,29.6265,8,56,7.22944,8.3383,3.6683,0.548002,1.81973,2.26383,2.58491,5.81208,3.58022,-5.01473,GlobuloRosso,1
BloodImage_00003.jpeg,GlobuloRosso,421,2,75,75,2567.5,436.09,0.169655,1.0,176.233,168.562,183.827,184.513,172,212,23.0797,4,52,4.82358,7.89558,3.76639,0.469964,3.07722,2.34379,2.13074,4.52641,3.69255,-4.5109,GlobuloRosso,1
BloodImage_00003.jpeg,GlobuloRosso,62,55,80,80,5473.0,353.255,0.551136,1.0,147.162,144.478,171.043,171.106,158,194,43.6203,8,64,5.68564,7.72988,2.80212,0.746026,3.10525,3.84214,6.52552,11.7455,-8.10293,12.1165,GlobuloRosso,1
BloodImage_00003.jpeg,GlobuloRosso,317,95,55,74,1067.5,286.35,0.1636,0.743243,175.386,167.053,183.349,185.076,139,205,25.8431,8,64,6.97864,8.38751,5.84551,0.273831,1.12254,1.23344,1.53704,2.97362,2.77374,-3.26063,GlobuloRosso,1
BloodImage_00003.jpeg,GlobuloRosso,324,135,80,80,2897.5,308.066,0.383659,1.0,168.472,162.822,182.489,182.568,167,208,29.1798,9,47,5.7339,5.47734,3.18158,0.594328,1.57604,2.67437,3.37344,6.39853,4.17324,-7.53072,GlobuloRosso,1
BloodImage_00003.jpeg,GlobuloRosso,399,149,80,69,3936.5,264.953,0.704663,1.15942,172.931,162.988,182.506,183.482,166,222,30.068,2,48,8.73386,6.55271,3.36325,0.745014,2.46209,3.02545,4.64371,8.47837,5.92704,-10.1901,GlobuloRosso,1
BloodImage_00003.jpeg,GlobuloRosso,524,218,80,79,5156.5,283.439,0.806579,1.01266,180.829,165.911,182.973,188.613,167,236,30.7047,3,127,8.65351,17.3783,3.79938,0.784521,3.72494,3.58043,5.67757,10.3088,9.65066,11.2975,GlobuloRosso,1
BloodImage_00003.jpeg,GlobuloRosso,447,246,80,80,6065.0,354.284,0.607207,1.0,152.72,155.126,183.135,183.135,165,211,44.6043,29,69,3.98062,5.52942,2.63291,0.777351,4.09298,4.5597,8.08038,-14.4595,10.2344,-14.7119,GlobuloRosso,1
BloodImage_00003.jpeg,GlobuloRosso,249,263,80,78,4598.5,315.296,0.581283,1.02564,163.211,159.512,188.721,188.874,171,249,42.9819,23,70,5.22734,7.37249,3.18066,0.748249,2.68253,3.2764,5.42331,-11.4123,-7.14684,9.77327,GlobuloRosso,1
BloodImage_00003.jpeg,GlobuloRosso,320,281,80,80,3887.5,320.208,0.476448,1.0,168.815,162.737,190.478,192.187,171,249,41.5964,20,94,6.05568,6.44416,3.6729,0.721316,2.72645,2.78517,4.27671,-7.98133,-5.64001,7.93723,GlobuloRosso,1
BloodImage_00003.jpeg,GlobuloRosso,0,354,80,80,5044.0,309.823,0.660323,1.0,158.372,156.067,177.829,177.829,158,255,34.8336,13,52,6.81678,6.41613,4.02368,0.770349,3.02507,3.49788,4.73112,8.94352,6.32616,9.06571,GlobuloRosso,1
BloodImage_00003.jpeg,GlobuloRosso,43,386,80,80,4632.0,320.225,0.567632,1.0,156.174,151.91,176.947,177.061,149,255,39.038,12,66,7.77108,7.7687,4.56331,0.713417,2.2022,3.05883,4.04624,7.61769,5.21302,-8.13808,GlobuloRosso,1
BloodImage_00004.jpeg,GlobuloBianco,137,154,180,157,17422.5,677.595,0.476848,1.1465,211.417,141.672,157.498,211.426,172,247,83.1597,0,147,11.1379,31.2624,4.95047,0.749718,2.40516,4.52904,5.09146,10.5786,-6.87776,9.91154,GlobuloBianco,0
BloodImage_00004.jpeg,GlobuloRosso,5,78,80,80,5814.0,371.397,0.529673,1.0,149.675,146.874,171.862,172.004,161,196,40.9611,6,64,4.65443,8.99937,3.06043,0.755513,3.89793,4.4043,4.84116,-9.47105,-6.8463,-10.2082,GlobuloRosso,1
BloodImage_00004.jpeg,GlobuloRosso,537,131,57,80,2826.0,313.681,0.360915,0.7125,168.915,157.759,179.922,181.023,157,230,34.0091,6,88,7.62329,12.9827,4.77389,0.594719,1.75869,2.97502,3.02002,6.08636,4.18435,6.30058,GlobuloRosso,1
BloodImage_00004.jpeg,GlobuloRosso,461,238,80,76,3316.0,331.078,0.380157,1.05263,164.143,160.01,182.894,182.952,167,235,35.3678,13,56,5.9646,7.48132,3.83503,0.662761,3.0144,2.27389,4.06824,-7.24554,-5.65558,-8.01374,GlobuloRosso,1
BloodImage_00004.jpeg,GlobuloRosso,0,288,80,80,5672.0,296.912,0.808521,1.0,151.178,152.112,176.493,176.493,157,196,39.8997,11,64,4.68159,8.70872,2.8766,0.778064,3.2368,3.81197,5.9121,11.424,7.53441,10.7853,GlobuloRosso,1
BloodImage_00004.jpeg,GlobuloRosso,0,343,71,50,2238.0,295.681,0.321679,1.42,162.851,162.711,179.504,179.808,160,196,29.5594,0,59,5.73555,9.7199,3.74919,0.658869,2.21847,2.72915,4.51743,8.15528,-6.38693,-8.7348,GlobuloRosso,1
BloodImage_00005.jpeg,GlobuloBianco,244,326,194,144,14110.5,796.08,0.279794,1.34722,218.902,146.614,164.407,218.903,179,253,83.4124,12,145,12.2637,26.4633,5.14718,0.612131,2.03285,2.20943,3.73801,-6.8411,-4.87925,-6.88569,GlobuloBianco,0
BloodImage_00005.jpeg,Piastrina,13,405,23,21,318.0,68.7696,0.844976,1.09524,196.865,164.724,160.034,196.865,178,216,47.7557,27,72,7.84634,10.9953,4.66769,0.7877,3.09123,4.22674,6.19831,-11.4763,-7.89851,-11.7031,Piastrina,2
BloodImage_00005.jpeg,Piastrina,178,71,23,20,316.5,68.5269,0.846957,1.15,189.389,157.45,153.749,189.389,170,212,48.2968,27,72,8.00045,11.4381,4.74283,0.784614,3.25862,3.60382,5.9744,10.7653,7.8364,11.8035,Piastrina,2
BloodImage_00005.jpeg,GlobuloRosso,57,0,80,80,5470.5,306.042,0.733966,1.0,149.979,152.439,175.275,175.281,154,246,39.895,14,66,6.47177,7.60008,3.17353,0.761371,2.81259,3.22791,5.72402,-10.219,-7.13829,10.7378,GlobuloRosso,1
BloodImage_00005.jpeg,GlobuloRosso,311,6,80,80,4383.0,405.681,0.334666,1.0,160.24,151.869,177.127,177.6,165,203,38.7639,7,63,5.43165,11.5127,3.1418,0.644639,3.06307,3.57998,3.28343,-6.73977,-4.81668,7.19999,GlobuloRosso,1
BloodImage_00005.jpeg,GlobuloRosso,184,10,80,80,4434.5,465.037,0.25768,1.0,164.96,160.197,177.091,179.872,163,206,31.4826,0,72,5.95639,11.2906,3.23407,0.67103,2.77469,3.67469,4.10001,7.9875,5.48828,9.57586,GlobuloRosso,1
BloodImage_00005.jpeg,GlobuloRosso,60,35,80,63,3466.5,259.154,0.648611,1.26984,156.34,159.17,177.931,177.948,154,246,34.5782,9,66,6.85298,9.36397,3.8002,0.719286,2.30888,2.71888,3.7613,7.00221,4.97896,8.21204,GlobuloRosso,1
