ImageName,CellType,BoxX,BoxY,BoxW,BoxH,Area,Perimeter,Circularity,AspectRatio,MeanBlue,MeanGreen,MeanRed,GroundTruth_Label,IoU_Score
BloodImage_00001.jpeg,GlobuloBianco,76,325,195,147,15514.0,661.553,0.445455,1.32653,216.429,144.154,160.787,GlobuloBianco,0.8017733273663011
BloodImage_00001.jpeg,Piastrina,475,467,3,6,6.5,12.2426,0.544971,0.5,155.462,153.308,178.308,Rumore,0.0026189436927106066
BloodImage_00001.jpeg,Piastrina,481,465,3,7,6.5,14.2426,0.402663,0.428571,159.286,153.929,175.214,Rumore,0.0030554343081623746
BloodImage_00001.jpeg,Piastrina,576,456,9,5,13.5,21.0711,0.382094,1.8,184.125,163.75,185.292,Rumore,0.0
BloodImage_00001.jpeg,Piastrina,53,423,5,9,15.5,21.8995,0.406138,0.555556,181.154,149.308,172.308,Rumore,0.0
BloodImage_00001.jpeg,Piastrina,48,391,7,11,15.5,31.5563,0.1956,0.636364,182.167,159.7,177.133,Rumore,0.0
BloodImage_00001.jpeg,Piastrina,468,331,5,7,17.5,18.2426,0.660804,0.714286,150.667,136.407,170.037,Rumore,0.005028735632183908
BloodImage_00001.jpeg,Piastrina,440,328,4,4,6.5,10.2426,0.778573,1.0,159.667,157.25,178.25,Rumore,0.0017582417582417582
BloodImage_00001.jpeg,Piastrina,422,323,8,9,46.0,26.4853,0.824059,0.888889,155.407,155.237,171.017,Rumore,0.007912087912087912
BloodImage_00001.jpeg,Piastrina,45,323,18,19,82.0,62.7696,0.261532,0.947368,172.917,167.743,180.266,Rumore,0.0
BloodImage_00001.jpeg,Piastrina,190,320,6,11,22.5,25.8995,0.421512,0.545455,190.686,169.4,181.657,Rumore,0.0018460505705974492
BloodImage_00001.jpeg,Piastrina,90,241,13,12,45.0,38.9706,0.372348,1.08333,163.492,146.175,170.984,GlobuloRosso,0.013978494623655914
BloodImage_00001.jpeg,Piastrina,87,229,20,16,85.5,67.8406,0.233451,1.25,168.825,154.202,171.833,GlobuloRosso,0.02867383512544803
BloodImage_00001.jpeg,Piastrina,201,211,16,17,95.0,52.2843,0.436708,0.941176,155.263,140.331,162.737,GlobuloRosso,0.028428093645484948
BloodImage_00001.jpeg,Piastrina,70,191,21,21,103.5,70.1838,0.264044,1.0,182.358,153.687,174.291,GlobuloRosso,0.03951612903225806
BloodImage_00001.jpeg,Piastrina,395,172,5,3,6.5,10.2426,0.778573,1.66667,184.583,174.417,179.667,Rumore,0.002950432730133753
BloodImage_00001.jpeg,Piastrina,210,167,3,5,6.0,10.8284,0.643029,0.6,132.583,136.583,164.583,Rumore,0.0015677257525083612
BloodImage_00001.jpeg,Piastrina,0,137,7,13,45.0,30.1421,0.622407,0.538462,158.136,133.949,158.898,Rumore,0.006375153248876175
BloodImage_00001.jpeg,Piastrina,63,119,24,33,241.0,115.882,0.225524,0.727273,165.714,122.017,148.759,GlobuloRosso,0.06480117820324006
BloodImage_00001.jpeg,Piastrina,60,104,8,14,25.0,46.6274,0.1445,0.571429,145.0,118.543,149.478,Rumore,0.009163802978235968
BloodImage_00001.jpeg,Piastrina,559,74,11,16,78.5,41.2132,0.580773,0.6875,152.464,150.845,151.722,GlobuloRosso,0.0199388240625354
BloodImage_00001.jpeg,Piastrina,594,66,15,14,64.0,44.6274,0.403819,1.07143,173.952,128.357,164.0,GlobuloRosso,0.023790642347343377
BloodImage_00001.jpeg,Piastrina,137,56,6,9,28.0,22.4853,0.695939,0.666667,171.026,124.744,158.128,Rumore,0.005368860608470869
BloodImage_00001.jpeg,Piastrina,489,37,17,11,64.5,49.2132,0.334662,1.54545,157.253,134.598,172.77,Rumore,0.0
BloodImage_00001.jpeg,Piastrina,289,24,3,5,5.0,9.65685,0.673765,0.6,161.1,141.8,156.7,Rumore,0.0
BloodImage_00001.jpeg,Piastrina,351,21,8,6,13.0,20.1421,0.402663,1.33333,151.591,151.864,191.727,Rumore,0.006823027718550106
BloodImage_00001.jpeg,Piastrina,343,20,18,16,67.0,57.1127,0.258119,1.125,151.489,121.38,154.63,GlobuloRosso,0.04093816631130064
BloodImage_00001.jpeg,Piastrina,490,17,7,4,5.5,15.0711,0.304288,1.75,160.538,124.308,165.692,Rumore,0.0
BloodImage_00001.jpeg,Piastrina,592,16,9,8,30.5,37.5563,0.271733,1.125,147.25,133.875,156.312,Rumore,0.0
BloodImage_00001.jpeg,GlobuloRosso,0,41,80,39,2360.5,209.983,0.672739,2.05128,156.722,145.795,172.079,GlobuloRosso,0.25128456080254463
BloodImage_00001.jpeg,GlobuloRosso,0,0,40,53,1388.5,165.012,0.640802,0.754717,157.471,151.59,172.171,GlobuloRosso,0.04252380606236825
